ID,STG,SCG,STR,LPR,PEG, UNS
48,0.13,0.39,0.85,0.38,0.77,3
49,0.18,0.34,0.71,0.71,0.9,3
50,0.09,0.51,0.02,0.18,0.67,2
51,0.06,0.5,0.09,0.28,0.25,1
52,0.23,0.7,0.19,0.51,0.45,2
53,0.09,0.55,0.12,0.78,0.05,1
54,0.24,0.75,0.32,0.18,0.86,3
55,0.18,0.72,0.37,0.29,0.55,2
56,0.1,0.6,0.33,,0.26,1
57,0.2,0.52,0.36,0.84,0.25,2
58,0.09,0.6,0.66,0.19,0.59,2
59,0.18,0.51,0.58,0.33,0.82,3
60,0.08,0.58,0.6,0.64,0.1,1
61,0.09,0.61,0.53,0.75,0.01,1
62,0.06,0.77,0.72,0.19,0.56,2
63,0.15,0.79,0.78,0.3,0.51,2
64,0.2,0.68,0.73,0.48,0.28,1
65,0.24,0.58,0.76,0.8,0.28,2
66,0.25,0.1,0.03,0.09,0.15,0
67,,0.2,0.06,0.26,0.24,0
68,0.29,0.06,0.19,0.55,0.51,2
69,0.28,0.1,0.12,0.28,0.32,1
70,0.3,0.08,0.4,0.02,0.67,2
71,0.27,0.12,0.37,0.29,0.58,2
72,0.31,0.1,0.41,0.42,0.75,3
73,0.29,0.15,0.33,0.66,0.08,0
74,0.3,0.2,0.52,0.3,0.53,2
75,0.28,0.16,0.69,0.33,0.78,3
76,0.255,0.18,0.5,,0.1,0
77,0.265,0.06,0.57,0.75,0.1,1
78,0.275,0.1,0.72,0.1,0.3,1
79,0.245,0.1,0.71,0.26,0.2,0
80,0.295,0.2,0.86,0.44,0.28,1
81,0.32,0.12,0.79,0.76,0.24,1
82,0.295,0.25,0.26,0.12,0.67,2
83,0.315,0.32,0.29,0.29,0.62,2
84,0.25,0.29,0.15,0.48,0.26,1
85,0.27,0.1,0.1,0.7,0.25,1
86,0.248,,0.31,0.2,0.03,0
87,0.325,0.25,0.38,0.31,0.79,3
88,0.27,0.31,0.32,0.41,0.28,1
89,0.29,0.29,0.4,0.78,0.18,1
90,0.29,0.3,0.52,0.09,0.67,2
91,0.258,0.28,0.64,0.29,0.56,2
92,0.32,0.255,0.55,0.78,0.34,2
93,0.251,0.265,0.57,0.6,0.09,0
94,0.288,0.31,0.79,0.23,0.24,1
95,0.323,0.32,0.89,0.32,0.8,3
96,0.255,0.305,0.86,0.62,0.15,1
97,0.295,0.25,0.73,0.77,0.19,1
98,0.258,0.25,0.295,0.33,0.77,3
99,0.29,0.25,0.29,0.29,0.57,2
100,0.243,0.27,0.08,0.42,0.29,1
101,0.27,0.28,0.18,0.48,0.26,1
102,0.299,0.32,0.31,0.33,0.87,3
103,0.3,0.27,0.31,0.31,0.54,2
104,0.245,0.26,0.38,0.49,0.27,1
105,0.295,0.29,0.31,0.76,0.1,1
106,0.29,0.3,0.56,0.25,0.67,2
107,0.26,0.28,0.6,0.29,0.59,2
108,0.305,0.255,0.63,0.4,0.54,2
109,0.32,0.27,0.52,0.81,0.3,2
110,0.299,0.295,0.8,0.37,0.84,3
111,0.276,0.255,0.81,0.27,0.33,1
112,0.258,,0.88,0.4,0.3,1
113,0.32,0.28,0.72,0.89,0.58,3
114,,0.55,0.02,0.4,0.79,3
115,0.295,0.59,0.29,0.31,0.55,2
116,0.285,0.64,0.18,0.61,0.45,2
117,0.265,0.6,0.28,0.66,0.07,0
118,0.315,0.69,0.28,0.8,0.7,3
119,0.28,0.78,0.44,0.17,0.66,2
120,0.325,0.61,0.46,0.32,0.81,3
121,0.28,0.65,0.4,0.65,0.13,1
122,0.255,0.75,0.35,0.72,0.25,1
123,0.305,0.55,0.5,0.11,0.333,1
124,0.3,0.85,0.54,0.25,0.83,2
125,0.325,0.9,0.52,,0.76,3
126,0.312,0.8,0.67,0.92,0.5,3
127,0.299,0.7,0.95,0.22,0.66,3
128,0.265,0.76,0.8,0.28,0.28,1
129,0.255,0.72,0.72,0.63,0.14,1
130,0.295,0.6,0.72,0.88,0.28,2
131,0.39,0.05,0.02,0.06,0.34,1
132,0.4,0.18,0.26,0.26,0.67,2
133,0.45,0.04,0.18,0.55,0.07,0
134,0.48,0.12,0.28,0.7,0.71,3
135,0.4,0.12,0.41,0.1,0.65,2
136,0.41,0.18,0.33,0.31,0.5,2
137,0.38,0.1,0.4,0.48,0.26,1
138,0.37,0.06,0.32,0.78,0.1,1
139,0.41,0.09,0.58,0.18,0.58,2
140,0.38,0.01,0.53,0.27,0.3,1
141,0.33,0.04,0.5,0.55,0.1,0
142,0.42,0.15,0.66,0.78,0.4,2
143,0.44,0.08,0.8,0.22,0.56,2
144,0.39,0.15,0.81,0.22,0.29,1
145,0.42,0.21,0.87,0.56,0.48,2
146,0.46,0.2,0.76,0.95,0.65,3
147,,0.243,0.19,0.24,0.35,1
148,0.33,0.27,0.2,0.33,0.1,0
149,0.345,0.299,0.1,0.64,0.13,1
150,0.48,0.3,0.15,0.65,0.77,3
151,0.49,0.245,0.38,0.14,0.86,3
152,0.334,0.295,0.33,0.32,0.3,1
153,0.36,0.29,0.37,0.48,0.13,0
154,0.39,0.26,0.39,0.77,0.14,1
155,0.43,,0.51,0.09,0.64,2
156,0.44,0.32,0.55,0.33,0.52,2
157,0.45,0.299,0.63,0.36,0.51,2
158,0.495,0.276,0.58,0.77,0.83,3
159,0.465,0.258,0.73,0.18,0.59,2
160,0.475,0.32,0.79,0.31,0.54,2
161,,0.329,0.83,0.61,0.18,1
162,0.385,0.26,0.76,0.84,0.3,2
163,0.445,0.39,0.02,0.24,0.88,3
164,0.43,0.45,0.27,0.27,0.89,3
165,0.33,0.34,0.1,0.49,0.12,0
166,0.4,0.33,0.12,0.3,0.9,3
167,0.34,0.4,0.38,0.2,0.61,2
168,0.38,0.36,0.46,,0.78,3
169,0.35,0.38,0.32,0.6,0.16,1
170,0.41,0.49,0.34,0.21,0.92,3
171,0.42,0.36,0.63,0.04,0.25,1
172,0.43,0.38,0.62,0.33,0.49,2
173,0.44,0.33,0.59,0.53,0.85,3
174,0.4,0.42,0.58,0.75,0.16,1
175,0.46,0.44,0.89,0.12,0.66,2
176,0.38,0.39,0.79,0.33,0.3,1
177,0.39,0.42,0.83,0.65,0.19,1
178,0.49,0.34,0.88,0.75,0.71,3
179,0.46,0.64,0.22,0.22,0.6,2
180,0.44,0.55,0.11,0.26,0.83,3
181,0.365,0.68,0.1,0.63,0.18,1
182,0.45,0.65,0.19,0.99,0.55,3
183,0.46,0.78,0.38,0.24,0.89,3
184,0.37,0.55,0.41,0.29,0.3,1
185,0.38,0.59,0.31,0.62,0.2,1
186,0.49,0.64,0.34,0.78,0.21,1
187,0.495,0.82,0.67,0.01,0.93,3
188,0.44,0.69,0.61,0.29,0.57,2
189,0.365,0.57,0.59,0.55,0.25,1
190,0.49,0.9,0.52,0.9,0.47,3
191,0.445,0.7,0.82,0.16,0.64,2
192,0.42,0.7,0.72,0.3,0.8,3
193,0.37,0.6,0.77,0.4,0.5,2
194,0.4,0.61,0.71,0.88,0.67,3
195,0.6,0.14,0.22,0.11,0.66,2
196,0.55,0.1,0.27,0.25,0.29,1
197,0.68,0.19,0.19,0.48,0.1,0
198,0.73,0.2,0.07,0.72,0.26,1
199,0.78,0.15,0.38,0.18,0.63,2
200,0.55,0.1,0.34,0.3,0.1,0
201,0.59,0.18,0.31,0.55,0.09,0
202,0.64,0.09,0.33,0.65,0.5,2
203,0.6,0.19,0.55,0.08,0.1,0
204,0.69,0.02,0.62,0.3,0.29,1
205,0.78,0.21,0.68,0.65,0.75,3
206,0.62,0.14,0.52,0.81,0.15,1
207,0.7,0.18,0.88,0.09,0.66,2
208,0.75,0.015,0.78,0.31,0.53,2
209,0.55,0.17,0.71,,0.11,0
210,0.85,0.05,0.91,0.8,0.68,3
211,0.78,0.27,0.13,0.14,0.62,2
212,0.8,0.29,0.06,0.31,0.51,2
213,0.9,0.26,0.19,0.58,0.79,3
214,0.76,0.258,0.07,0.83,0.34,2
215,0.72,0.32,0.48,0.2,0.6,2
216,0.6,0.251,0.39,0.29,0.3,1
217,0.52,0.288,0.32,0.5,0.3,1
218,0.6,,0.31,0.87,0.58,3
219,0.51,0.255,0.55,0.17,0.64,2
220,0.58,0.295,0.62,0.28,0.3,1
221,0.61,0.258,0.56,0.62,0.24,1
222,0.77,0.267,0.59,0.78,0.28,2
223,0.79,0.28,0.88,0.2,0.66,2
224,0.68,0.27,0.78,0.31,0.57,2
225,0.58,0.299,0.73,0.63,0.21,1
226,0.77,0.29,0.74,0.82,0.68,3
227,0.71,0.475,0.13,0.23,0.59,2
228,0.58,0.348,0.06,0.29,0.31,1
229,0.88,0.335,0.19,0.55,0.78,3
230,0.99,0.49,0.07,0.7,0.69,3
231,0.73,0.43,0.32,0.12,0.65,2
232,0.61,0.33,0.36,0.28,0.28,1
233,0.51,0.4,0.4,0.59,0.23,1
234,0.83,0.44,0.49,0.91,0.66,3
235,0.66,0.38,0.55,0.15,0.62,2
236,0.58,0.35,0.51,0.27,0.3,1
237,0.523,0.41,0.55,0.6,0.22,1
238,0.66,0.36,0.56,0.4,0.83,3
239,0.62,0.37,0.81,0.13,0.64,2
240,0.52,0.44,0.82,0.3,0.52,2
241,0.5,0.4,0.73,0.62,0.2,1
242,0.71,0.46,0.95,0.78,0.86,3
243,0.64,0.55,0.15,0.18,0.63,2
244,0.52,0.85,0.06,0.27,0.25,1
245,0.62,0.62,0.24,0.65,0.25,2
246,0.91,0.58,0.26,0.89,0.88,3
247,0.62,0.67,0.39,0.1,0.66,2
248,0.58,0.58,0.31,0.29,0.29,1
249,0.89,0.68,0.49,0.65,0.9,3
250,0.72,0.6,0.45,0.79,0.45,2
251,0.68,0.63,0.65,0.09,0.66,2
252,0.56,0.6,0.6,0.31,0.5,2
253,0.54,0.51,0.55,0.64,0.19,1
254,0.61,0.78,0.69,0.92,0.58,3
255,0.78,0.61,0.71,0.19,0.6,2
256,0.54,0.82,0.71,0.29,0.77,3
257,0.5,0.75,0.81,0.61,0.26,2
258,0.66,0.9,0.76,0.87,0.74,3
