PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Air_quality
13.48,27.12,4.03,9,13.08,12.63,0.32,6.14,25.54,1.36,5.96,0.33,41,Good
10.49,23.68,3.97,8.56,12.58,12.42,0.33,7.5,36.42,1.22,5.38,0.29,44,Good
15.3,29.63,4,8.68,12.72,12.36,0.33,7.45,47.67,1.41,5.6,0.31,59,Satisfactory
15.74,27.95,3.86,8.54,12.4,12.13,0.34,6.61,48.65,1.63,5.36,0.31,59,Satisfactory
10.67,36.11,3.9,8.2,12.12,12.23,0.32,5.52,33.34,1.5,5.56,0.36,44,Good
7.71,19.98,3.95,9.15,13.15,12.33,0.34,5.21,29.82,1.6,6.06,0.43,45,Good
16.66,31,4.25,10.52,14.83,12.57,0.36,6.04,35.37,2.18,7.26,0.55,51,Satisfactory
13.88,29.3,3.87,9.11,13.02,12.71,0.31,7.42,38.95,1.42,5.63,0.33,54,Satisfactory
14.68,32.84,3.79,8.11,11.95,13.2,0.33,5.2,25.61,1.6,4.72,0.3,69,Satisfactory
242.58,158.08,8.62,42.92,47.85,49.8,2.75,10.66,33.28,3.79,8.3,8.14,449,Severe
245.53,338.18,44.49,47.5,64.57,48.22,1.8,11.03,28.07,4.81,38.4,0.22,417,Severe
372.14,483.87,109.53,64.18,135,56.85,3.15,18.49,39.58,8.5,60.79,1.38,492,Severe
327.04,439.31,120.76,64.8,143.71,58.26,3.32,19.95,36.5,9.36,73.11,2.65,485,Severe
228.9,337.04,111.09,55.65,131.13,53.02,2.8,14.93,27.82,6.96,66.8,2.8,426,Severe
516.2,82.97,3.03,0.62,2.72,10.78,1.09,4.77,38.74,1.05,5.82,0.47,487,Severe
270.21,104.38,3.12,0.65,2.57,11.2,0.94,8.98,43.41,1.07,6.22,1.58,502,Severe
525.09,94,16.96,19.14,34.7,10.53,1.57,8.75,37.36,2.16,13.13,2.85,442,Severe
353.58,95.54,8.53,16.83,23.94,10.47,1.17,9.43,38.86,1.4,9.8,2.38,510,Severe
